work_id,title,byline,creators,creators_with_id
T0235,金剛般若波羅蜜經,後秦 鳩摩羅什譯,鳩摩羅什,鳩摩羅什(A001583)
T0945,大佛頂如來密因修證了義諸菩薩萬行首楞嚴經,唐 般剌蜜帝譯,般剌蜜帝,般剌蜜帝(A000992)
T1578,大乘掌珍論,清辯菩薩造  唐 玄奘譯,"清辯菩薩,玄奘",玄奘(A000294)
T1585,成唯識論,護法等菩薩造  唐 玄奘譯,"護法,玄奘",玄奘(A000294)
